LocID,Period,Year,Trajectory,Mig
246,2025,2025,83,0.0012
246,2026,2026,83,0.00477
246,2027,2027,83,0.00522
246,2028,2028,83,0.00216
246,2029,2029,83,-1e-05
246,2030,2030,83,-0.00203
246,2031,2031,83,-0.00342
246,2032,2032,83,-0.00634
246,2033,2033,83,-0.00651
246,2034,2034,83,-0.00539
246,2035,2035,83,-0.00458
246,2036,2036,83,-0.00337
246,2037,2037,83,-0.00271
246,2038,2038,83,-0.00247
246,2039,2039,83,0.00014
246,2040,2040,83,0.00159
246,2041,2041,83,0.00209
246,2042,2042,83,0.00178
246,2043,2043,83,0.00302
246,2044,2044,83,-0.00038
246,2045,2045,83,-0.00147
246,2046,2046,83,2e-05
246,2047,2047,83,-0.00088
246,2048,2048,83,-0.00069
246,2049,2049,83,-0.00133
246,2050,2050,83,0.00219
246,2051,2051,83,0.00238
246,2052,2052,83,0.00558
246,2053,2053,83,0.00766
246,2054,2054,83,0.00595
246,2055,2055,83,0.0066
246,2056,2056,83,0.0048
246,2057,2057,83,0.00469
246,2058,2058,83,0.00236
246,2059,2059,83,0.00257
246,2060,2060,83,0.00286
246,2061,2061,83,0.00291
246,2062,2062,83,0.00362
246,2063,2063,83,0.00314
246,2064,2064,83,0.00288
246,2065,2065,83,0.00353
246,2066,2066,83,0.00347
246,2067,2067,83,0.00571
246,2068,2068,83,0.00535
246,2069,2069,83,0.00593
246,2070,2070,83,0.0041
246,2071,2071,83,0.0019
246,2072,2072,83,0.00434
246,2073,2073,83,0.0061
246,2074,2074,83,0.00472
246,2075,2075,83,0.00547
246,2076,2076,83,0.00268
246,2077,2077,83,0.0031
246,2078,2078,83,0.00088
246,2079,2079,83,0.00064
246,2080,2080,83,-0.00113
246,2081,2081,83,0.00353
246,2082,2082,83,0.00117
246,2083,2083,83,-0.00293
246,2084,2084,83,-0.00407
246,2085,2085,83,-0.00272
246,2086,2086,83,-0.00098
246,2087,2087,83,-0.00184
246,2088,2088,83,0.00385
246,2089,2089,83,0.00514
246,2090,2090,83,0.00234
246,2091,2091,83,0.0059
246,2092,2092,83,0.00512
246,2093,2093,83,0.0017
246,2094,2094,83,0.00065
246,2095,2095,83,-0.00066
246,2096,2096,83,-0.00043
246,2097,2097,83,-0.00129
246,2098,2098,83,0.00229
246,2099,2099,83,0.00283
246,2100,2100,83,0.00437
246,2023,2023,103,0.00685
246,2024,2024,103,0.00307
246,2025,2025,103,0.00288
246,2026,2026,103,0.00086
246,2027,2027,103,0.00182
246,2028,2028,103,0.00122
246,2029,2029,103,0.00533
246,2030,2030,103,0.00315
246,2031,2031,103,0.00249
246,2032,2032,103,0.00229
246,2033,2033,103,0.00339
246,2034,2034,103,0.00352
246,2035,2035,103,0.00543
246,2036,2036,103,0.00514
246,2037,2037,103,0.00536
246,2038,2038,103,0.00483
246,2039,2039,103,0.0031
246,2040,2040,103,0.00417
246,2041,2041,103,0.00412
246,2042,2042,103,0.00367
246,2043,2043,103,0.00308
246,2044,2044,103,-0.00261
246,2045,2045,103,-0.00229
246,2046,2046,103,0.00138
246,2047,2047,103,0.00211
246,2048,2048,103,0.00532
246,2049,2049,103,0.00874
246,2050,2050,103,0.007
246,2051,2051,103,0.00296
246,2052,2052,103,0.00198
246,2053,2053,103,0.00374
246,2054,2054,103,0.0019
246,2055,2055,103,0.00226
246,2056,2056,103,0.0041
246,2057,2057,103,0.003
246,2058,2058,103,0.00048
246,2059,2059,103,-0.00087
246,2060,2060,103,-0.00298
246,2061,2061,103,-0.00109
246,2062,2062,103,-0.00219
246,2063,2063,103,-0.00257
246,2064,2064,103,-0.00233
246,2065,2065,103,-0.00101
246,2066,2066,103,-0.00017
246,2067,2067,103,-0.00024
246,2068,2068,103,-0.00138
246,2069,2069,103,-0.00128
246,2070,2070,103,-0.00366
246,2071,2071,103,-0.0022
246,2072,2072,103,-0.0049
246,2073,2073,103,-0.00601
246,2074,2074,103,-0.00743
246,2075,2075,103,-0.00755
246,2076,2076,103,-0.0062
246,2077,2077,103,-0.007
246,2078,2078,103,-0.00563
246,2079,2079,103,-0.00444
246,2080,2080,103,-0.003
246,2081,2081,103,-0.00268
246,2082,2082,103,-0.0026
246,2083,2083,103,-1e-05
246,2084,2084,103,3e-04
246,2085,2085,103,0.00186
246,2086,2086,103,0.00472
246,2087,2087,103,0.00083
246,2088,2088,103,0.00129
246,2089,2089,103,0.00219
246,2090,2090,103,0.00315
246,2091,2091,103,-0.00148
246,2092,2092,103,-0.00456
246,2093,2093,103,-0.00098
246,2094,2094,103,-0.00405
246,2095,2095,103,-0.00279
246,2096,2096,103,-0.00314
246,2097,2097,103,-0.00269
246,2098,2098,103,-0.00079
246,2099,2099,103,-0.00376
